Color name  RGB HEX
Maroon	(128,0,0)	#800000
Oldlace	(253,245,230)	#FDF5E6
FloralWhite	(255,250,240)	#FFFAF0
Cornsilk	(255,248,220)	#FFF8DC
Khaki	(240,230,140)	#F0E68C
Lemon Chiffon	(255,250,205)	#FFFACD
Pale Goldenrod	(238,232,170)	#EEE8AA
Dark Khaki	(189,183,107)	#BDB76B
Beige	(245,245,220)	#F5F5DC
Light Goldenrod Yellow	(250,250,210)	#FAFAD2
Light Yellow	(255,255,224)	#FFFFE0
Ivory	(255,255,240)	#FFFFF0
Olive Drab	(107,142,35)	#6B8E23
Dark Olive Green	(85,107,47)	#556B2F
Dark Sea Green	(143,188,143)	#8FBC8F
Dark Green	(0,100,0)	#006400
ForestGreen	(34,139,34)	#228B22
Light Green	(144,238,144)	#90EE90
PaleGreen	(152,251,152)	#98FB98
Honeydew	(240,255,240)	#F0FFF0
Sea Green	(46,139,87)	#2E8B57
Medium Sea Green	(60,179,113)	#3CB371
Mintcream	(245,255,250)	#F5FFFA
Medium Aquamarine	(102,205,170)	#66CDAA
Aquamarine	(127,255,212)	#7FFFD4
Dark Slate Gray	(47,79,79)	#2F4F4F
Pale Turquoise	(179,238,238)	#AFEEEE
Light Cyan	(224,255,255)	#E0FFFF
Azure	(245,255,255)	#F0FFFF
Cadet Blue	(95,158,160)	#5F9EA0
Powder Blue	(176,224,230)	#B0E0E6
Light Blue	(173,216,230)	#ADD8E6
Sky Blue	(135,206,235)	#87CEEB
Lightsky Blue	(135,206,250)	#87CEFA
Steel Blue	(70,130,180)	#4682B4
Alice Blue	(240,248,255)	#F0F8FF
Slate Gray	(112,128,144)	#708090
Light Slate Gray	(119,136,153)	#778899
Lightsteel Blue	(176,196,222)	#B0C4DE
Cornflower Blue	(100,149,237)	#6495ED
Lavender	(230,230,250)	#E6E6FA
Ghost White	(248,248,255)	#F8F8FF
Midnight Blue	(25,25,112)	#191970
Slate Blue	(106,90,205)	#6A5ACD
Dark Slate Blue	(72,61,139)	#483D8B
Medium Slate Blue	(123,104,238)	#7B68EE
Medium Purple	(147,112,219)	#9370DB
Indigo	(75,0,130)	#4B0082
Medium Orchid	(186,85,211)	#BA55D3
Plum	(221,160,221)	#DDA0DD
Violet	(238,130,238)	#EE82EE
Thistle	(216,191,216)	#D8BFD8
Orchid	(218,112,214)	#DA70D6
LavenderB lush	(255,240,245)	#FFF0F5
Pale Violet Red	(219,112,147)	#DB7093
Pink	(255,192,203)	#FFC0CB
LightPink	(255,182,193)	#FFB6C1
Black	(0,0,0)	#000000
DimGray	(105,105,105)	#696969
Gray	(128,128,128)	#808080
Dark Gray	(169,169,169)	#A9A9A9
Silver	(192,192,192)	#C0C0C0
Light Grey	(211,211,211)	#D3D3D3
Gainsboro	(220,220,220)	#DCDCDC
White Smoke	(245,245,245)	#F5F5F5
White	(255,255,255)	#FFFFFF
